state,date,sex,age,ethnicity,population
Kedah,1/1/2023,both,overall,other_citizen,25.8
Kedah,1/1/2023,both,overall,other_noncitizen,99.6
Kedah,1/1/2024,both,overall,overall,2217.5
Kedah,1/1/2024,both,overall,bumi_malay,1697.9
Kedah,1/1/2024,both,overall,bumi_other,4.8
Kedah,1/1/2024,both,overall,chinese,247.7
Kedah,1/1/2024,both,overall,indian,128.5
Kedah,1/1/2024,both,overall,other_citizen,25.8
Kedah,1/1/2024,both,overall,other_noncitizen,112.8
Kelantan,1/1/2013,both,overall,overall,1683.5
Kelantan,1/1/2013,both,overall,bumi_malay,1553.8
Kelantan,1/1/2013,both,overall,bumi_other,18.7
Kelantan,1/1/2013,both,overall,chinese,53.1
Kelantan,1/1/2013,both,overall,indian,4.7
Kelantan,1/1/2013,both,overall,other_citizen,10.8
Kelantan,1/1/2013,both,overall,other_noncitizen,42.4
Kelantan,1/1/2014,both,overall,overall,1723.4
Kelantan,1/1/2014,both,overall,bumi_malay,1585.8
Kelantan,1/1/2014,both,overall,bumi_other,19.3
Kelantan,1/1/2014,both,overall,chinese,54
Kelantan,1/1/2014,both,overall,indian,4.8
Kelantan,1/1/2014,both,overall,other_citizen,11
Kelantan,1/1/2014,both,overall,other_noncitizen,48.7
Kelantan,1/1/2015,both,overall,overall,1760.6
Kelantan,1/1/2015,both,overall,bumi_malay,1620.2
Kelantan,1/1/2015,both,overall,bumi_other,19.5
Kelantan,1/1/2015,both,overall,chinese,54.7
Kelantan,1/1/2015,both,overall,indian,4.8
Kelantan,1/1/2015,both,overall,other_citizen,10.9
Kelantan,1/1/2015,both,overall,other_noncitizen,50.7
Kelantan,1/1/2016,both,overall,overall,1796.7
Kelantan,1/1/2016,both,overall,bumi_malay,1653.6
Kelantan,1/1/2016,both,overall,bumi_other,19.4
Kelantan,1/1/2016,both,overall,chinese,55.4
Kelantan,1/1/2016,both,overall,indian,4.8
Kelantan,1/1/2016,both,overall,other_citizen,11
Kelantan,1/1/2016,both,overall,other_noncitizen,52.4
Kelantan,1/1/2017,both,overall,overall,1829
Kelantan,1/1/2017,both,overall,bumi_malay,1683.4
Kelantan,1/1/2017,both,overall,bumi_other,20.6
Kelantan,1/1/2017,both,overall,chinese,55.8
Kelantan,1/1/2017,both,overall,indian,4.8
Kelantan,1/1/2017,both,overall,other_citizen,11.3
Kelantan,1/1/2017,both,overall,other_noncitizen,53.5
Kelantan,1/1/2018,both,overall,overall,1860.5
Kelantan,1/1/2018,both,overall,bumi_malay,1713.1
Kelantan,1/1/2018,both,overall,bumi_other,20.6
Kelantan,1/1/2018,both,overall,chinese,56.3
Kelantan,1/1/2018,both,overall,indian,4.8
Kelantan,1/1/2018,both,overall,other_citizen,11.4
Kelantan,1/1/2018,both,overall,other_noncitizen,54.2
Kelantan,1/1/2019,both,overall,overall,1883.8
Kelantan,1/1/2019,both,overall,bumi_malay,1740.4
Kelantan,1/1/2019,both,overall,bumi_other,20.9
Kelantan,1/1/2019,both,overall,chinese,56.8
Kelantan,1/1/2019,both,overall,indian,4.8
Kelantan,1/1/2019,both,overall,other_citizen,11.5
Kelantan,1/1/2019,both,overall,other_noncitizen,49.2
Kelantan,1/1/2021,both,overall,overall,1812.3
Kelantan,1/1/2021,both,overall,bumi_malay,1695
Kelantan,1/1/2021,both,overall,bumi_other,21.9
Kelantan,1/1/2021,both,overall,chinese,44.7
Kelantan,1/1/2021,both,overall,indian,4.8
Kelantan,1/1/2021,both,overall,other_citizen,11
Kelantan,1/1/2021,both,overall,other_noncitizen,35
Kelantan,1/1/2022,both,overall,overall,1830.6
Kelantan,1/1/2022,both,overall,bumi_malay,1714.1
Kelantan,1/1/2022,both,overall,bumi_other,22.2
Kelantan,1/1/2022,both,overall,chinese,44.5
Kelantan,1/1/2022,both,overall,indian,4.8
Kelantan,1/1/2022,both,overall,other_citizen,11
Kelantan,1/1/2022,both,overall,other_noncitizen,34.1
Kelantan,1/1/2023,both,overall,overall,1859.8
Kelantan,1/1/2023,both,overall,bumi_malay,1736.8
Kelantan,1/1/2023,both,overall,bumi_other,22.5
Kelantan,1/1/2023,both,overall,chinese,44.3
Kelantan,1/1/2023,both,overall,indian,4.8
Kelantan,1/1/2023,both,overall,other_citizen,11
Kelantan,1/1/2023,both,overall,other_noncitizen,40.3
Kelantan,1/1/2024,both,overall,overall,1888.5
Kelantan,1/1/2024,both,overall,bumi_malay,1758.7
Kelantan,1/1/2024,both,overall,bumi_other,22.8
Kelantan,1/1/2024,both,overall,chinese,44.2
Kelantan,1/1/2024,both,overall,indian,4.7
Kelantan,1/1/2024,both,overall,other_citizen,11
Kelantan,1/1/2024,both,overall,other_noncitizen,47.1
Melaka,1/1/2013,both,overall,overall,856.7
Melaka,1/1/2013,both,overall,bumi_malay,536.8
Melaka,1/1/2013,both,overall,bumi_other,12.5
Melaka,1/1/2013,both,overall,chinese,213
Melaka,1/1/2013,both,overall,indian,48.6
Melaka,1/1/2013,both,overall,other_citizen,4.4
