series,date,state,sector,value(value of GDP in RM millions),,,,,
abs,1/1/2018,Melaka,p6,185.109,,,,,
abs,1/1/2018,Negeri Sembilan,p0,45694.04,,,,,
abs,1/1/2018,Negeri Sembilan,p1,3323.09,,,,,
abs,1/1/2018,Negeri Sembilan,p2,223.609,,,,,
abs,1/1/2018,Negeri Sembilan,p3,17208.037,,,,,
abs,1/1/2018,Negeri Sembilan,p4,1915.685,,,,,
abs,1/1/2018,Negeri Sembilan,p5,22126.197,,,,,
abs,1/1/2018,Negeri Sembilan,p6,897.422,,,,,
abs,1/1/2018,Pahang,p0,56289.94,,,,,
abs,1/1/2018,Pahang,p1,12418.561,,,,,
abs,1/1/2018,Pahang,p2,705.115,,,,,
abs,1/1/2018,Pahang,p3,12194.343,,,,,
abs,1/1/2018,Pahang,p4,2399.236,,,,,
abs,1/1/2018,Pahang,p5,28453.955,,,,,
abs,1/1/2018,Pahang,p6,118.73,,,,,
abs,1/1/2018,Perak,p0,73030.81,,,,,
abs,1/1/2018,Perak,p1,10993.834,,,,,
abs,1/1/2018,Perak,p2,460.602,,,,,
abs,1/1/2018,Perak,p3,13221.631,,,,,
abs,1/1/2018,Perak,p4,2336.763,,,,,
abs,1/1/2018,Perak,p5,45910.8,,,,,
abs,1/1/2018,Perak,p6,107.18,,,,,
abs,1/1/2018,Perlis,p0,5885.364,,,,,
abs,1/1/2018,Perlis,p1,1260.332,,,,,
abs,1/1/2018,Perlis,p2,32.582,,,,,
abs,1/1/2018,Perlis,p3,465.657,,,,,
abs,1/1/2018,Perlis,p4,147.251,,,,,
abs,1/1/2018,Perlis,p5,3881.139,,,,,
abs,1/1/2018,Perlis,p6,98.404,,,,,
abs,1/1/2018,Pulau Pinang,p0,91234.235,,,,,
abs,1/1/2018,Pulau Pinang,p1,1969.23,,,,,
abs,1/1/2018,Pulau Pinang,p2,156.363,,,,,
abs,1/1/2018,Pulau Pinang,p3,39458.422,,,,,
abs,1/1/2018,Pulau Pinang,p4,2619.567,,,,,
abs,1/1/2018,Pulau Pinang,p5,46120.484,,,,,
abs,1/1/2018,Pulau Pinang,p6,910.17,,,,,
